object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.043, r_dist = 44.90, orig_r_dist = 44.90, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.203, r_dist = 63.95, orig_r_dist = 63.95, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.078, r_dist = 85.31, orig_r_dist = 85.31, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.023, r_dist = 13.85, orig_r_dist = 13.85, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.317, r_dist = 97.06, orig_r_dist = 97.06, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.046, r_dist = 35.02, orig_r_dist = 35.02, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.062, r_dist = 162.88, orig_r_dist = 162.88, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.589, r_dist = 148.54, orig_r_dist = 148.54, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.048, r_dist = 162.43, orig_r_dist = 162.43, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.034, r_dist = 42.07, orig_r_dist = 42.07, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.085, r_dist = 39.49, orig_r_dist = 39.49, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.666, r_dist = 168.65, orig_r_dist = 168.65, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.198, r_dist = 166.35, orig_r_dist = 166.35, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.123, r_dist = 55.01, orig_r_dist = 55.01, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.048, r_dist = 46.38, orig_r_dist = 46.38, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.041, r_dist = 30.40, orig_r_dist = 30.40, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.024, r_dist = 163.59, orig_r_dist = 163.59, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 179.28, orig_r_dist = 179.28, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 13.53, orig_r_dist = 13.53, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.024, r_dist = 156.28, orig_r_dist = 156.28, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.029, r_dist = 160.92, orig_r_dist = 160.92, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.085, r_dist = 95.23, orig_r_dist = 95.23, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.048, r_dist = 161.85, orig_r_dist = 161.85, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.400, r_dist = 92.81, orig_r_dist = 92.81, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.014, r_dist = 33.88, orig_r_dist = 33.88, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.047, r_dist = 31.41, orig_r_dist = 31.41, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.065, r_dist = 83.07, orig_r_dist = 83.07, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.048, r_dist = 18.06, orig_r_dist = 18.06, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 167.08, orig_r_dist = 167.08, total_time = 3.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.029, r_dist = 31.19, orig_r_dist = 31.19, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.520, r_dist = 90.52, orig_r_dist = 90.52, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.104, r_dist = 170.45, orig_r_dist = 170.45, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.079, r_dist = 32.44, orig_r_dist = 32.44, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.066, r_dist = 66.06, orig_r_dist = 66.06, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.101, r_dist = 55.38, orig_r_dist = 55.38, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.106, r_dist = 74.38, orig_r_dist = 74.38, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.052, r_dist = 26.48, orig_r_dist = 26.48, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.038, r_dist = 33.36, orig_r_dist = 33.36, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.057, r_dist = 171.37, orig_r_dist = 171.37, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.061, r_dist = 120.45, orig_r_dist = 120.45, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.040, r_dist = 115.62, orig_r_dist = 115.62, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.091, r_dist = 113.89, orig_r_dist = 113.89, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.084, r_dist = 107.01, orig_r_dist = 107.01, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.058, r_dist = 152.16, orig_r_dist = 152.16, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.141, r_dist = 164.75, orig_r_dist = 164.75, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.077, r_dist = 169.76, orig_r_dist = 169.76, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.327, r_dist = 26.36, orig_r_dist = 26.36, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.107, r_dist = 105.70, orig_r_dist = 105.70, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.139, r_dist = 134.69, orig_r_dist = 134.69, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.060, r_dist = 99.67, orig_r_dist = 99.67, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.086, r_dist = 20.77, orig_r_dist = 20.77, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.030, r_dist = 30.13, orig_r_dist = 30.13, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.080, r_dist = 173.61, orig_r_dist = 173.61, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.052, r_dist = 46.35, orig_r_dist = 46.35, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.064, r_dist = 71.70, orig_r_dist = 71.70, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.154, r_dist = 178.54, orig_r_dist = 178.54, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.090, r_dist = 109.78, orig_r_dist = 109.78, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.073, r_dist = 101.23, orig_r_dist = 101.23, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.224, r_dist = 79.88, orig_r_dist = 79.88, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.071, r_dist = 42.92, orig_r_dist = 42.92, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.066, r_dist = 26.75, orig_r_dist = 26.75, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.247, r_dist = 178.36, orig_r_dist = 178.36, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.127, r_dist = 60.78, orig_r_dist = 60.78, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.084, r_dist = 73.02, orig_r_dist = 73.02, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.056, r_dist = 23.11, orig_r_dist = 23.11, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.060, r_dist = 126.56, orig_r_dist = 126.56, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.112, r_dist = 153.20, orig_r_dist = 153.20, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.059, r_dist = 168.73, orig_r_dist = 168.73, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.060, r_dist = 166.45, orig_r_dist = 166.45, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.121, r_dist = 171.45, orig_r_dist = 171.45, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.050, r_dist = 43.66, orig_r_dist = 43.66, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.071, r_dist = 82.72, orig_r_dist = 82.72, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.029, r_dist = 170.04, orig_r_dist = 170.04, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.079, r_dist = 166.20, orig_r_dist = 166.20, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.055, r_dist = 152.81, orig_r_dist = 152.81, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.080, r_dist = 51.33, orig_r_dist = 51.33, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.059, r_dist = 21.00, orig_r_dist = 21.00, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.237, r_dist = 119.92, orig_r_dist = 119.92, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.203, r_dist = 168.97, orig_r_dist = 168.97, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.082, r_dist = 37.19, orig_r_dist = 37.19, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.240, r_dist = 150.53, orig_r_dist = 150.53, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.082, r_dist = 170.52, orig_r_dist = 170.52, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.254, r_dist = 75.74, orig_r_dist = 75.74, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.127, r_dist = 106.53, orig_r_dist = 106.53, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.105, r_dist = 80.54, orig_r_dist = 80.54, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.048, r_dist = 38.46, orig_r_dist = 38.46, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.151, r_dist = 121.73, orig_r_dist = 121.73, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.126, r_dist = 157.17, orig_r_dist = 157.17, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.072, r_dist = 43.73, orig_r_dist = 43.73, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.055, r_dist = 22.60, orig_r_dist = 22.60, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.141, r_dist = 118.74, orig_r_dist = 118.74, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.176, r_dist = 143.86, orig_r_dist = 143.86, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.081, r_dist = 47.11, orig_r_dist = 47.11, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.227, r_dist = 149.57, orig_r_dist = 149.57, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.095, r_dist = 117.27, orig_r_dist = 117.27, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.086, r_dist = 64.59, orig_r_dist = 64.59, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.091, r_dist = 174.62, orig_r_dist = 174.62, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.084, r_dist = 170.90, orig_r_dist = 170.90, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.149, r_dist = 113.02, orig_r_dist = 113.02, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.146, r_dist = 104.91, orig_r_dist = 104.91, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.275, r_dist = 89.16, orig_r_dist = 89.16, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.143, r_dist = 127.56, orig_r_dist = 127.56, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.247, r_dist = 24.27, orig_r_dist = 24.27, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.146, r_dist = 123.48, orig_r_dist = 123.48, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.124, r_dist = 162.08, orig_r_dist = 162.08, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.200, r_dist = 111.05, orig_r_dist = 111.05, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.292, r_dist = 64.89, orig_r_dist = 64.89, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.187, r_dist = 98.12, orig_r_dist = 98.12, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.166, r_dist = 165.71, orig_r_dist = 165.71, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.409, r_dist = 147.75, orig_r_dist = 147.75, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.180, r_dist = 152.61, orig_r_dist = 152.61, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.177, r_dist = 55.80, orig_r_dist = 55.80, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.326, r_dist = 95.08, orig_r_dist = 95.08, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.391, r_dist = 156.00, orig_r_dist = 156.00, total_time = 1.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.284, r_dist = 101.45, orig_r_dist = 101.45, total_time = 2.0000
object_name = linemod_iron, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.087, r_dist = 177.53, orig_r_dist = 177.53, total_time = 2.0000
